Business_Sector,Business_Subsector,Business_Model,Ownership_Type,Registration_Year,Duration_Operation,Business_Age,Initial_Capital,Num_Employees,Location,Owner_Age,Owner_Gender,Business_Type,Growth_Indicator,Business_Status
Education & Training,EdTech platforms,Service-based,Partnership,2021,4,4,1652625,13,Rubavu,41,Female,Startup,0.18,Operating
Manufacturing,Pharmaceutical & medical products,Hybrid,Sole Proprietorship,2018,7,7,10598060,31,Kigali,37,Male,Micro-enterprise,0.06,Operating
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Product-based,Cooperative,2006,19,19,4460509,8,Rubavu,38,Male,Startup,0.41,Operating
Manufacturing,"Cement, ceramics, building materials",Product-based,Partnership,2002,23,23,3541657,40,Huye,33,Male,SME,0.29,Operating
Health & Social Work,NGOs & community health services,Service-based,Partnership,2004,21,21,2493514,34,Rubavu,18,Female,Micro-enterprise,0.02,Operating
Professional & Business Services,"Legal, auditing & accounting firms",Product-based,Sole Proprietorship,2017,8,8,4889648,36,Musanze,35,Female,SME,0.3,Operating
Hospitality & Tourism,Travel agencies & tour operators,Hybrid,Partnership,2002,23,23,6473225,15,Rubavu,45,Male,Micro-enterprise,0.43,Operating
Professional & Business Services,"Legal, auditing & accounting firms",Product-based,Partnership,2014,11,11,4429032,13,Kigali,25,Male,SME,0.28,Operating
Education & Training,EdTech platforms,Service-based,Sole Proprietorship,2006,19,19,1108010,27,Musanze,64,Female,Startup,0.38,Closed
Mining & Quarrying,Gold,Product-based,Limited Company,2005,20,0,16732891,44,Huye,53,Female,Micro-enterprise,0.18,Operating
Health & Social Work,NGOs & community health services,Product-based,Partnership,2022,3,3,7329503,40,Musanze,58,Male,Micro-enterprise,0.11,Operating
Hospitality & Tourism,Conference & events (MICE industry),Service-based,Cooperative,2001,24,24,1722293,12,Huye,52,Female,Startup,0.01,Operating
"Arts, Entertainment & Recreation","Music, events & performing arts",Service-based,Sole Proprietorship,2012,13,13,9361858,6,Musanze,45,Male,Startup,0.39,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Hybrid,Cooperative,2006,19,19,4913075,31,Huye,29,Male,SME,0.25,Operating
Education & Training,"Primary, secondary & tertiary schools",Service-based,Cooperative,2013,12,12,2603236,31,Kigali,48,Male,Startup,0.03,Operating
Hospitality & Tourism,"Hotels, lodges, restaurants, cafés",Product-based,Sole Proprietorship,2022,3,3,4275076,22,Rwamagana,58,Female,SME,-0.03,Operating
Public Administration & Defense,Security & defense institutions,Hybrid,Sole Proprietorship,2022,3,3,2153494,20,Musanze,28,Male,Micro-enterprise,0.45,Operating
Manufacturing,"Metal fabrication, machinery, electrical products",Service-based,Cooperative,2021,4,4,2850444,38,Rubavu,51,Female,Startup,0.5,Operating
"Arts, Entertainment & Recreation",Sports clubs & fitness centers,Hybrid,Partnership,2007,18,18,9840237,33,Rwamagana,44,Male,SME,0.46,Operating
Education & Training,"Primary, secondary & tertiary schools",Service-based,Partnership,2001,24,24,3162065,18,Rubavu,44,Female,Micro-enterprise,-0.01,Operating
Nonprofit & Community Organizations,Religious organizations,Product-based,Cooperative,2024,1,1,5584924,23,Rubavu,62,Female,SME,-0.14,Operating
Financial & Insurance Services,"Capital markets, investment funds",Service-based,Limited Company,2022,3,3,3332356,34,Huye,58,Female,SME,0.41,Operating
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Service-based,Limited Company,2000,25,25,1929544,12,Musanze,19,Female,Micro-enterprise,0.41,Operating
Health & Social Work,Health insurance providers,Product-based,Sole Proprietorship,2017,8,8,4605777,9,Rusizi,27,Female,Micro-enterprise,-0.01,Operating
Nonprofit & Community Organizations,NGOs & cooperatives,Service-based,Limited Company,2006,19,19,2709609,27,Rubavu,46,Female,Startup,0.37,Operating
Information & Communication Technology (ICT),Data centers & cloud services,Hybrid,Limited Company,2014,11,11,4403326,47,Kigali,27,Male,SME,-0.16,Operating
Professional & Business Services,"Advertising, media & marketing",Service-based,Cooperative,2007,18,18,8251605,2,Rusizi,30,Female,SME,0.38,Operating
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Service-based,Cooperative,2016,9,9,12637907,45,Rwamagana,22,Female,Startup,0.44,Operating
"Arts, Entertainment & Recreation",Gaming & leisure activities,Product-based,Partnership,2008,17,17,904451,45,Nyagatare,58,Female,SME,-0.18,Operating
Transport & Logistics,"Road transport (bus, taxi, moto, trucks)",Product-based,Sole Proprietorship,2001,24,24,3112858,44,Rubavu,46,Male,Startup,0.26,Operating
Nonprofit & Community Organizations,Religious organizations,Service-based,Sole Proprietorship,2005,20,20,6726420,37,Rusizi,48,Male,SME,-0.11,Closed
Information & Communication Technology (ICT),Data centers & cloud services,Hybrid,Limited Company,2013,12,12,5951618,44,Rubavu,64,Male,Startup,-0.14,Operating
Energy & Utilities,"Electricity (hydropower, solar, methane gas, peat, biomass)",Product-based,Limited Company,2025,0,0,5520533,8,Huye,51,Female,Startup,0.06,Operating
Nonprofit & Community Organizations,NGOs & cooperatives,Hybrid,Sole Proprietorship,2006,19,19,9218821,27,Rwamagana,43,Female,Micro-enterprise,0.11,Operating
Mining & Quarrying,Gold,Product-based,Limited Company,2004,21,0,4680483,14,Rusizi,55,Female,SME,-0.08,Operating
Hospitality & Tourism,Conference & events (MICE industry),Product-based,Sole Proprietorship,2004,21,21,1017679,17,Kigali,59,Female,SME,0.33,Operating
"Arts, Entertainment & Recreation","Music, events & performing arts",Service-based,Sole Proprietorship,2011,14,0,3876013,8,Musanze,38,Male,Micro-enterprise,-0.06,Operating
"Arts, Entertainment & Recreation","Music, events & performing arts",Hybrid,Partnership,2001,24,24,3320049,33,Musanze,22,Male,Startup,0.43,Operating
Professional & Business Services,Security services,Service-based,Limited Company,2000,25,25,6177133,15,Nyagatare,51,Male,Startup,0.2,Operating
Energy & Utilities,"Electricity (hydropower, solar, methane gas, peat, biomass)",Service-based,Sole Proprietorship,2007,18,18,639615,33,Rubavu,50,Female,SME,0.43,Operating
Nonprofit & Community Organizations,NGOs & cooperatives,Product-based,Cooperative,2012,13,13,5629195,1,Huye,44,Male,Micro-enterprise,0.49,Operating
"Agriculture, Forestry & Fishing",Fishing & aquaculture,Service-based,Cooperative,2006,19,19,4765038,25,Rubavu,61,Male,Startup,-0.1,Operating
Manufacturing,"Chemicals, plastics, rubber, paints",Hybrid,Limited Company,2016,9,9,18976728,20,Nyagatare,31,Male,Micro-enterprise,-0.03,Operating
Financial & Insurance Services,Savings & credit cooperatives (SACCOs),Hybrid,Limited Company,2005,20,20,8359445,12,Huye,55,Female,Startup,-0.12,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Product-based,Limited Company,2019,6,6,8178606,30,Rwamagana,35,Female,Startup,-0.16,Operating
Professional & Business Services,"Legal, auditing & accounting firms",Service-based,Partnership,2005,20,20,4984278,37,Rwamagana,59,Male,Micro-enterprise,-0.1,Operating
Financial & Insurance Services,"Insurance (life, health, property, vehicle)",Hybrid,Partnership,2013,12,12,2630070,33,Rusizi,49,Male,Startup,0.45,Operating
Health & Social Work,Health insurance providers,Product-based,Cooperative,2024,1,0,9537657,47,Rwamagana,49,Male,SME,0.34,Operating
"Agriculture, Forestry & Fishing","Forestry (timber, charcoal, firewood, reforestation)",Product-based,Limited Company,2012,13,0,3597275,4,Rubavu,31,Female,Startup,-0.19,Operating
Financial & Insurance Services,Banking (commercial & microfinance),Product-based,Sole Proprietorship,2022,3,3,1446852,24,Rusizi,44,Male,Micro-enterprise,0.36,Closed
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Service-based,Cooperative,2025,0,0,9544275,35,Huye,38,Male,Startup,0.32,Operating
Wholesale & Retail Trade,E-commerce & distribution,Hybrid,Partnership,2010,15,15,3497667,37,Rubavu,32,Male,SME,0.1,Operating
Transport & Logistics,Rail (future projects),Service-based,Partnership,2020,5,5,1415918,39,Musanze,57,Male,Startup,0.39,Operating
Financial & Insurance Services,Banking (commercial & microfinance),Service-based,Limited Company,2016,9,9,1611245,28,Rubavu,27,Male,SME,-0.1,Operating
Hospitality & Tourism,Travel agencies & tour operators,Service-based,Partnership,2019,6,6,2524454,32,Kigali,28,Female,SME,0.04,Operating
Education & Training,EdTech platforms,Service-based,Partnership,2010,15,15,1176749,2,Rwamagana,45,Male,Startup,0.21,Operating
Energy & Utilities,Renewable energy technologies,Service-based,Sole Proprietorship,2021,4,4,3692577,3,Rwamagana,53,Male,SME,0.33,Operating
Health & Social Work,Health insurance providers,Product-based,Partnership,2008,17,17,9439247,23,Nyagatare,18,Male,Startup,0.38,Operating
Wholesale & Retail Trade,E-commerce & distribution,Service-based,Sole Proprietorship,2012,13,13,1558630,37,Rubavu,18,Male,Micro-enterprise,0.14,Closed
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Hybrid,Cooperative,2007,18,18,17817718,11,Nyagatare,53,Female,Startup,0.15,Operating
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Product-based,Sole Proprietorship,2005,20,20,7710842,28,Rubavu,21,Female,Startup,0.09,Operating
"Arts, Entertainment & Recreation","Music, events & performing arts",Service-based,Limited Company,2015,10,10,6002995,6,Musanze,19,Male,SME,0.25,Closed
Hospitality & Tourism,"Hotels, lodges, restaurants, cafés",Service-based,Cooperative,2012,13,13,2340170,3,Rusizi,59,Male,SME,-0.01,Closed
Health & Social Work,Health insurance providers,Service-based,Cooperative,2008,17,17,652915,48,Huye,19,Male,Micro-enterprise,0.29,Closed
Wholesale & Retail Trade,E-commerce & distribution,Hybrid,Sole Proprietorship,2009,16,0,946045,14,Rwamagana,36,Female,Startup,0.19,Operating
Hospitality & Tourism,Cultural & eco-tourism services,Product-based,Sole Proprietorship,2019,6,6,4100357,42,Musanze,52,Male,SME,0.21,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Service-based,Limited Company,2004,21,21,1187597,28,Kigali,59,Female,Startup,-0.13,Closed
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Hybrid,Cooperative,2018,7,7,7561352,5,Kigali,25,Female,SME,0.37,Operating
Information & Communication Technology (ICT),"FinTech (mobile money, digital banking solutions)",Product-based,Partnership,2017,8,8,4929940,6,Nyagatare,36,Male,Micro-enterprise,0.08,Operating
Nonprofit & Community Organizations,NGOs & cooperatives,Product-based,Limited Company,2013,12,12,9306383,21,Rubavu,54,Female,Startup,0.06,Operating
Manufacturing,"Textile, apparel & leather goods",Product-based,Partnership,2010,15,15,7087934,11,Rusizi,58,Female,SME,0.49,Closed
Public Administration & Defense,Security & defense institutions,Product-based,Partnership,2011,14,14,7635914,27,Musanze,52,Female,Micro-enterprise,0.47,Operating
Energy & Utilities,"Electricity (hydropower, solar, methane gas, peat, biomass)",Product-based,Partnership,2018,7,7,4257878,13,Rubavu,52,Male,Startup,-0.1,Operating
Professional & Business Services,"Legal, auditing & accounting firms",Service-based,Partnership,2025,0,0,4240235,30,Huye,64,Female,SME,0.41,Operating
Financial & Insurance Services,"Insurance (life, health, property, vehicle)",Service-based,Limited Company,2001,24,24,1944013,3,Nyagatare,53,Female,SME,-0.13,Operating
Manufacturing,"Cement, ceramics, building materials",Product-based,Limited Company,2009,16,16,962953,30,Nyagatare,54,Female,SME,0.5,Operating
Information & Communication Technology (ICT),Data centers & cloud services,Hybrid,Sole Proprietorship,2023,2,2,6832652,13,Huye,26,Male,SME,0.38,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Product-based,Partnership,2022,3,3,2161928,31,Rusizi,50,Female,Startup,0.33,Operating
Transport & Logistics,"Logistics, warehousing & courier services",Hybrid,Sole Proprietorship,2008,17,17,4538487,10,Rubavu,58,Male,SME,0.24,Operating
Health & Social Work,NGOs & community health services,Product-based,Partnership,2003,22,22,5977783,46,Nyagatare,47,Male,Startup,0.05,Operating
Manufacturing,Paper & printing,Service-based,Sole Proprietorship,2019,6,6,4881747,30,Huye,56,Male,Startup,0.21,Closed
"Agriculture, Forestry & Fishing","Crop farming (coffee, tea, maize, rice, beans, vegetables, fruits)",Service-based,Sole Proprietorship,2025,0,0,3773947,8,Rwamagana,31,Female,Micro-enterprise,0.06,Operating
Financial & Insurance Services,"Capital markets, investment funds",Hybrid,Limited Company,2006,19,19,2626436,8,Rubavu,54,Female,Startup,0.05,Operating
Construction & Real Estate,Real estate development & property management,Service-based,Partnership,2011,14,14,17004009,12,Nyagatare,21,Male,SME,-0.11,Operating
"Arts, Entertainment & Recreation","Music, events & performing arts",Service-based,Sole Proprietorship,2011,14,14,6121708,37,Kigali,38,Male,Startup,0.3,Operating
Public Administration & Defense,Government services,Hybrid,Partnership,2016,9,9,7403832,3,Nyagatare,26,Female,SME,0.38,Operating
Health & Social Work,Health insurance providers,Service-based,Cooperative,2004,21,21,7094141,35,Nyagatare,50,Male,SME,0.05,Closed
Public Administration & Defense,Security & defense institutions,Hybrid,Limited Company,2020,5,5,2049948,32,Musanze,59,Female,Micro-enterprise,-0.19,Operating
Nonprofit & Community Organizations,Religious organizations,Hybrid,Sole Proprietorship,2005,20,20,7120654,2,Nyagatare,61,Male,SME,0.08,Operating
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Service-based,Limited Company,2016,9,9,10956162,32,Huye,55,Female,SME,0.32,Operating
"Arts, Entertainment & Recreation",Media & film industry,Hybrid,Limited Company,2022,3,3,1669979,39,Rubavu,44,Female,Startup,0.15,Closed
Construction & Real Estate,Road construction & maintenance,Product-based,Sole Proprietorship,2000,25,25,13917380,34,Huye,45,Female,Micro-enterprise,-0.04,Operating
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Hybrid,Cooperative,2012,13,13,2315935,13,Rwamagana,44,Male,SME,0.09,Operating
Information & Communication Technology (ICT),Data centers & cloud services,Product-based,Limited Company,2012,13,13,4046497,23,Rwamagana,55,Male,SME,0.14,Operating
"Agriculture, Forestry & Fishing","Livestock farming (cattle, goats, poultry, pigs, rabbits, fish)",Service-based,Limited Company,2017,8,8,2718545,14,Rwamagana,38,Male,SME,-0.03,Operating
Education & Training,EdTech platforms,Service-based,Partnership,2006,19,19,3556945,45,Kigali,18,Female,Startup,0.49,Operating
Mining & Quarrying,Gold,Product-based,Sole Proprietorship,2022,3,0,18888242,10,Rubavu,42,Male,Micro-enterprise,-0.12,Operating
"Agriculture, Forestry & Fishing","Livestock farming (cattle, goats, poultry, pigs, rabbits, fish)",Product-based,Limited Company,2014,11,11,1082023,24,Musanze,49,Female,Startup,0.47,Closed
Transport & Logistics,"Road transport (bus, taxi, moto, trucks)",Product-based,Cooperative,2009,16,16,9816453,9,Nyagatare,19,Male,Micro-enterprise,0.3,Operating
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Product-based,Limited Company,2015,10,0,3289220,4,Rusizi,27,Female,SME,0.39,Operating
Education & Training,"Primary, secondary & tertiary schools",Product-based,Cooperative,2015,10,10,4160359,3,Rwamagana,62,Female,Startup,0.43,Operating
"Arts, Entertainment & Recreation",Media & film industry,Hybrid,Partnership,2018,7,7,7032225,14,Rubavu,58,Male,Startup,-0.04,Operating
Hospitality & Tourism,Cultural & eco-tourism services,Hybrid,Partnership,2025,0,0,8263669,15,Huye,61,Male,Startup,0.14,Closed
Information & Communication Technology (ICT),"FinTech (mobile money, digital banking solutions)",Product-based,Sole Proprietorship,2023,2,2,2567876,2,Rwamagana,64,Male,Startup,-0.15,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Service-based,Limited Company,2025,0,0,18496783,14,Rubavu,49,Male,SME,0.12,Operating
Professional & Business Services,Management consulting & advisory,Service-based,Limited Company,2014,11,11,8130391,32,Rubavu,44,Female,Micro-enterprise,0.02,Operating
Public Administration & Defense,Government services,Service-based,Sole Proprietorship,2021,4,4,4040483,27,Musanze,28,Male,Micro-enterprise,-0.2,Operating
Energy & Utilities,"Electricity (hydropower, solar, methane gas, peat, biomass)",Service-based,Sole Proprietorship,2006,19,19,18248311,5,Nyagatare,29,Female,SME,0.27,Operating
Public Administration & Defense,Security & defense institutions,Product-based,Limited Company,2010,15,15,9717175,40,Rwamagana,42,Male,Micro-enterprise,0.02,Operating
Transport & Logistics,"Road transport (bus, taxi, moto, trucks)",Hybrid,Sole Proprietorship,2015,10,0,2623794,12,Kigali,46,Male,Startup,0.43,Closed
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Hybrid,Cooperative,2021,4,4,15774904,13,Huye,22,Female,SME,-0.04,Operating
Transport & Logistics,"Logistics, warehousing & courier services",Product-based,Limited Company,2019,6,6,8363923,12,Rubavu,49,Male,Startup,-0.2,Operating
Professional & Business Services,"Advertising, media & marketing",Service-based,Partnership,2014,11,0,5226995,42,Kigali,54,Female,Startup,0.2,Operating
Transport & Logistics,"Road transport (bus, taxi, moto, trucks)",Hybrid,Limited Company,2017,8,8,5056192,31,Kigali,34,Female,Startup,0.16,Operating
Information & Communication Technology (ICT),"FinTech (mobile money, digital banking solutions)",Service-based,Partnership,2007,18,18,4889977,9,Rwamagana,57,Male,Micro-enterprise,0.04,Operating
"Agriculture, Forestry & Fishing","Crop farming (coffee, tea, maize, rice, beans, vegetables, fruits)",Service-based,Cooperative,2013,12,12,829614,40,Rusizi,45,Male,SME,-0.2,Operating
Financial & Insurance Services,"Capital markets, investment funds",Service-based,Sole Proprietorship,2017,8,8,5902538,44,Nyagatare,43,Female,SME,0.23,Operating
Transport & Logistics,"Road transport (bus, taxi, moto, trucks)",Hybrid,Partnership,2000,25,25,5879568,22,Kigali,18,Female,Startup,0.05,Operating
"Agriculture, Forestry & Fishing","Forestry (timber, charcoal, firewood, reforestation)",Product-based,Sole Proprietorship,2001,24,24,3241897,45,Huye,63,Male,Startup,0.28,Closed
Financial & Insurance Services,"Insurance (life, health, property, vehicle)",Hybrid,Partnership,2001,24,24,4715611,14,Rwamagana,46,Female,Startup,0.4,Operating
Financial & Insurance Services,"Insurance (life, health, property, vehicle)",Product-based,Sole Proprietorship,2014,11,11,5698980,40,Rusizi,26,Female,Micro-enterprise,-0.12,Operating
Health & Social Work,"Hospitals, clinics, pharmacies",Service-based,Cooperative,2009,16,16,7557017,5,Nyagatare,20,Female,SME,0.25,Closed
Energy & Utilities,Renewable energy technologies,Hybrid,Partnership,2019,6,6,16987477,30,Huye,30,Female,Micro-enterprise,-0.17,Operating
"Agriculture, Forestry & Fishing","Forestry (timber, charcoal, firewood, reforestation)",Service-based,Partnership,2007,18,18,4827911,9,Rwamagana,48,Female,Micro-enterprise,0.16,Operating
Energy & Utilities,Renewable energy technologies,Service-based,Limited Company,2004,21,21,15012495,19,Rwamagana,32,Female,SME,0.46,Closed
Nonprofit & Community Organizations,Charities & associations,Hybrid,Limited Company,2010,15,15,381073,34,Rubavu,41,Male,SME,0.34,Operating
Professional & Business Services,"Advertising, media & marketing",Service-based,Sole Proprietorship,2008,17,17,2855152,44,Rwamagana,30,Male,SME,-0.12,Operating
Energy & Utilities,Renewable energy technologies,Service-based,Sole Proprietorship,2007,18,18,16948736,24,Nyagatare,28,Female,SME,-0.13,Operating
Hospitality & Tourism,"Hotels, lodges, restaurants, cafés",Hybrid,Partnership,2014,11,11,254740,38,Huye,20,Female,SME,0.03,Operating
Energy & Utilities,Renewable energy technologies,Hybrid,Partnership,2012,13,13,17615247,20,Rwamagana,44,Male,Micro-enterprise,0.06,Operating
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Hybrid,Partnership,2014,11,0,2326093,18,Huye,28,Male,SME,0.07,Operating
Manufacturing,Wood products & furniture,Hybrid,Sole Proprietorship,2017,8,8,5688170,34,Huye,19,Female,Startup,-0.1,Operating
Information & Communication Technology (ICT),"Software development, IT services & startups",Service-based,Partnership,2011,14,14,2825564,20,Musanze,50,Male,Startup,0.14,Operating
Hospitality & Tourism,Conference & events (MICE industry),Product-based,Sole Proprietorship,2020,5,5,4700220,25,Kigali,28,Female,SME,-0.03,Operating
Education & Training,EdTech platforms,Product-based,Sole Proprietorship,2000,25,25,4873757,25,Rubavu,41,Female,Micro-enterprise,-0.16,Closed
Nonprofit & Community Organizations,Religious organizations,Hybrid,Sole Proprietorship,2023,2,2,2597675,9,Musanze,40,Female,SME,-0.03,Closed
Manufacturing,"Textile, apparel & leather goods",Hybrid,Cooperative,2017,8,8,9653860,7,Nyagatare,56,Male,Startup,0.45,Operating
"Agriculture, Forestry & Fishing",Fishing & aquaculture,Service-based,Limited Company,2022,3,3,2394576,35,Kigali,51,Female,Micro-enterprise,0.36,Operating
Financial & Insurance Services,"Capital markets, investment funds",Hybrid,Cooperative,2009,16,0,454090,48,Rwamagana,38,Male,Startup,0.45,Operating
Manufacturing,"Textile, apparel & leather goods",Service-based,Limited Company,2008,17,17,6632763,11,Huye,38,Female,Micro-enterprise,0.08,Closed
Wholesale & Retail Trade,E-commerce & distribution,Service-based,Cooperative,2009,16,16,2131513,18,Musanze,49,Female,Startup,-0.05,Operating
Manufacturing,Pharmaceutical & medical products,Hybrid,Cooperative,2005,20,20,16150996,20,Rwamagana,61,Female,Micro-enterprise,-0.02,Closed
Energy & Utilities,Water supply & waste management,Hybrid,Sole Proprietorship,2025,0,0,846599,43,Huye,52,Male,SME,0.12,Operating
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Service-based,Limited Company,2021,4,4,4858163,10,Kigali,64,Female,Micro-enterprise,0.25,Operating
Professional & Business Services,"Legal, auditing & accounting firms",Hybrid,Cooperative,2014,11,11,6452349,24,Rwamagana,64,Female,SME,0.31,Operating
Hospitality & Tourism,"Hotels, lodges, restaurants, cafés",Service-based,Limited Company,2007,18,18,5523000,31,Huye,50,Female,Startup,0.47,Operating
"Arts, Entertainment & Recreation",Gaming & leisure activities,Hybrid,Cooperative,2022,3,3,4841207,39,Kigali,28,Male,SME,-0.14,Operating
Transport & Logistics,"Aviation (RwandAir, airport services)",Service-based,Limited Company,2012,13,13,7365167,17,Huye,42,Male,Micro-enterprise,0.29,Operating
"Agriculture, Forestry & Fishing","Crop farming (coffee, tea, maize, rice, beans, vegetables, fruits)",Hybrid,Cooperative,2024,1,1,3626835,28,Rwamagana,41,Female,SME,0.38,Operating
Education & Training,Universities & research centers,Hybrid,Partnership,2008,17,17,1717559,6,Nyagatare,45,Female,SME,0.42,Operating
Professional & Business Services,"Advertising, media & marketing",Hybrid,Cooperative,2023,2,2,4910841,40,Rwamagana,29,Male,Startup,0.17,Operating
Education & Training,EdTech platforms,Service-based,Limited Company,2010,15,0,230451,45,Rubavu,32,Female,Micro-enterprise,0.33,Operating
Energy & Utilities,"Electricity (hydropower, solar, methane gas, peat, biomass)",Service-based,Limited Company,2020,5,5,8200302,23,Musanze,27,Female,SME,-0.06,Operating
Information & Communication Technology (ICT),Data centers & cloud services,Product-based,Sole Proprietorship,2003,22,22,5483147,37,Rubavu,23,Female,Startup,-0.18,Operating
Manufacturing,"Chemicals, plastics, rubber, paints",Hybrid,Sole Proprietorship,2023,2,2,18007544,36,Rusizi,31,Female,Micro-enterprise,0.18,Closed
Health & Social Work,"Hospitals, clinics, pharmacies",Hybrid,Sole Proprietorship,2020,5,5,7059376,17,Rwamagana,29,Male,Startup,-0.09,Operating
Information & Communication Technology (ICT),Data centers & cloud services,Product-based,Cooperative,2003,22,22,1261034,5,Rubavu,46,Male,Micro-enterprise,0.27,Operating
Wholesale & Retail Trade,E-commerce & distribution,Hybrid,Sole Proprietorship,2011,14,0,3471697,4,Rubavu,46,Female,Startup,0,Operating
"Arts, Entertainment & Recreation",Sports clubs & fitness centers,Service-based,Cooperative,2017,8,8,5112715,36,Rwamagana,40,Female,SME,0.02,Operating
Public Administration & Defense,Security & defense institutions,Service-based,Cooperative,2023,2,2,6977900,2,Kigali,18,Female,Micro-enterprise,-0.16,Closed
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Service-based,Limited Company,2001,24,24,924871,44,Musanze,43,Female,Micro-enterprise,-0.18,Operating
Professional & Business Services,"Advertising, media & marketing",Service-based,Cooperative,2014,11,11,3150385,26,Kigali,35,Male,SME,0.38,Operating
Professional & Business Services,"Advertising, media & marketing",Product-based,Partnership,2022,3,3,5213384,19,Kigali,25,Male,Micro-enterprise,0.41,Operating
Information & Communication Technology (ICT),"FinTech (mobile money, digital banking solutions)",Hybrid,Cooperative,2012,13,13,7263597,4,Rwamagana,52,Male,Startup,0.03,Operating
Energy & Utilities,Renewable energy technologies,Service-based,Sole Proprietorship,2020,5,5,4448019,23,Kigali,19,Male,Micro-enterprise,0.36,Operating
Professional & Business Services,"Advertising, media & marketing",Product-based,Sole Proprietorship,2001,24,24,5456042,34,Rwamagana,50,Female,Startup,0.46,Operating
Construction & Real Estate,Road construction & maintenance,Service-based,Partnership,2007,18,18,19848782,9,Musanze,46,Male,SME,0.36,Operating
Public Administration & Defense,Government services,Hybrid,Partnership,2014,11,11,788429,13,Rwamagana,20,Female,Micro-enterprise,0.2,Operating
Manufacturing,"Textile, apparel & leather goods",Service-based,Cooperative,2004,21,21,14976674,28,Kigali,22,Female,SME,0.29,Operating
Information & Communication Technology (ICT),"Telecommunications (MTN, Airtel, broadband providers)",Service-based,Partnership,2006,19,19,3794550,9,Kigali,36,Male,Micro-enterprise,-0.14,Operating
Professional & Business Services,"Advertising, media & marketing",Hybrid,Sole Proprietorship,2006,19,19,8873924,4,Musanze,28,Male,SME,0.22,Operating
Education & Training,Universities & research centers,Hybrid,Cooperative,2022,3,0,1679760,38,Rusizi,43,Female,SME,0.18,Operating
Health & Social Work,Health insurance providers,Service-based,Limited Company,2010,15,15,5654735,12,Huye,27,Male,SME,-0.11,Operating
Nonprofit & Community Organizations,Religious organizations,Service-based,Limited Company,2002,23,23,4464710,4,Kigali,49,Female,SME,0.13,Closed
Energy & Utilities,Renewable energy technologies,Service-based,Sole Proprietorship,2013,12,12,6840978,11,Kigali,26,Female,Micro-enterprise,-0.17,Closed
Manufacturing,"Textile, apparel & leather goods",Service-based,Sole Proprietorship,2022,3,3,14830934,40,Rusizi,18,Male,Startup,0.43,Operating
Information & Communication Technology (ICT),"Telecommunications (MTN, Airtel, broadband providers)",Service-based,Partnership,2020,5,5,2212661,41,Rwamagana,64,Male,SME,0.25,Operating
Manufacturing,"Metal fabrication, machinery, electrical products",Product-based,Cooperative,2008,17,17,13563921,49,Huye,25,Female,SME,0.11,Operating
"Agriculture, Forestry & Fishing","Forestry (timber, charcoal, firewood, reforestation)",Product-based,Limited Company,2018,7,7,4524704,34,Kigali,43,Female,Micro-enterprise,0.42,Closed
Construction & Real Estate,"Architecture, engineering & technical services",Hybrid,Limited Company,2021,4,4,7185824,12,Musanze,30,Male,Micro-enterprise,0.14,Operating
Financial & Insurance Services,"Insurance (life, health, property, vehicle)",Product-based,Cooperative,2002,23,23,5511734,39,Huye,55,Female,SME,0.23,Operating
Construction & Real Estate,Building & civil engineering works,Hybrid,Sole Proprietorship,2024,1,1,3486400,26,Nyagatare,56,Male,Startup,-0.01,Operating
Health & Social Work,NGOs & community health services,Hybrid,Partnership,2009,16,16,8027213,5,Rubavu,42,Female,Startup,0.33,Operating
Public Administration & Defense,Government services,Product-based,Sole Proprietorship,2009,16,16,8832705,32,Kigali,56,Female,Micro-enterprise,0.41,Closed
Professional & Business Services,Security services,Service-based,Sole Proprietorship,2025,0,0,6999264,4,Nyagatare,43,Male,SME,0.13,Closed
Information & Communication Technology (ICT),Data centers & cloud services,Product-based,Limited Company,2011,14,14,4864759,42,Rusizi,57,Male,Startup,0.16,Operating
Information & Communication Technology (ICT),"Telecommunications (MTN, Airtel, broadband providers)",Service-based,Sole Proprietorship,2018,7,7,8039290,15,Kigali,18,Female,Micro-enterprise,-0.08,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Product-based,Limited Company,2019,6,6,4621044,31,Huye,26,Female,SME,-0.13,Operating
